"SURF"
"SURF"
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
init done 
opengl support available 
Waiting for Phidget 0 to be attached....Phidget Advanced Servo Controller 1-motor     152622 attached!
Waiting for Phidget 1 to be attached....Phidget Advanced Servo Controller 1-motor     152666 attached!
PhidgetAdvancedServo
Serial Number:     152622
Version:      100
# Motors: 1
PhidgetAdvancedServo
Serial Number:     152666
Version:      100
# Motors: 1
Reading.....
../data/thatObj/hat1.png
../data/thatObj/hat2.png
../data/thatObj/hat3.png
End reading directory in 708.974 ms, of size 3
Can Run, starting program
X,Y,total x, y	565.162	231.999	14808.9	7829.35
X,Y,total x, y	293.519	58.0761	13742.4	7432.5
X,Y,total x, y	327.891	129.954	14070.3	7562.45
X,Y,total x, y	492.729	198.788	14563	7761.24
X,Y,total x, y	604.491	358.042	15167.5	8119.28
X,Y,total x, y	477.3	300.688	15644.8	8419.97
X,Y,total x, y	516.955	371.809	15325.9	8201.16
X,Y,total x, y	244.423	157.171	15570.3	8358.33
X,Y,total x, y	463.254	231.022	5190.07	2520.55
X,Y,total x, y	394.885	252.572	15965.2	8610.9
X,Y,total x, y	331.956	205.692	5522.02	2726.25
X,Y,total x, y	582.041	279.968	16226.9	8699.94
X,Y,total x, y	589.11	463.526	16816	9163.47
X,Y,total x, y	478.819	192.903	16444	8803.81
X,Y,total x, y	425.962	231.009	16870	9034.82
X,Y,total x, y	482.535	188.237	17298.5	9351.7
X,Y,total x, y	322.523	188.11	17192.5	9222.93
X,Y,total x, y	309.954	145.087	17502.5	9368.01
X,Y,total x, y	604.68	413.627	17903.2	9765.33
X,Y,total x, y	495.522	358.247	18398.7	10123.6
X,Y,total x, y	594.143	288.344	6116.17	3014.59
X,Y,total x, y	552.237	223.369	18950.9	10346.9
X,Y,total x, y	310.378	165.076	19261.3	10512
X,Y,total x, y	572.297	259.284	6688.46	3273.87
X,Y,total x, y	487.046	219.537	17989.5	9587.55
X,Y,total x, y	332.747	149.045	18322.3	9736.6
X,Y,total x, y	571.105	376.142	19832.4	10888.2
X,Y,total x, y	586.129	256.612	18908.4	9993.21
X,Y,total x, y	602.635	460.824	19511	10454
X,Y,total x, y	334.443	179.19	19845.5	10633.2
X,Y,total x, y	233.219	82.8461	20065.6	10971
X,Y,total x, y	578.905	463.267	20644.5	11434.3
X,Y,total x, y	459.341	283.196	20304.8	10916.4
X,Y,total x, y	382.324	221.755	7070.79	3495.63
X,Y,total x, y	473.556	253.383	21118.1	11687.7
X,Y,total x, y	601.711	452.155	21719.8	12139.8
X,Y,total x, y	563.046	192.653	7633.83	3688.28
X,Y,total x, y	572.942	454.141	22292.8	12594
X,Y,total x, y	228.67	36.9795	7862.5	3725.26
X,Y,total x, y	313.719	201.182	20618.5	11117.6
X,Y,total x, y	470.334	212.378	21088.9	11330
X,Y,total x, y	497.832	408.844	21586.7	11738.8
X,Y,total x, y	545.769	228.474	22132.5	11967.3
X,Y,total x, y	545.86	246.109	22838.6	12840.1
X,Y,total x, y	285.306	73.6141	23123.9	12913.7
X,Y,total x, y	322.562	146.143	22455	12113.4
X,Y,total x, y	315.967	216.496	22771	12329.9
X,Y,total x, y	493.945	325.435	23617.9	13239.1
X,Y,total x, y	229.993	37.2741	8092.5	3762.53
X,Y,total x, y	279.346	63.7501	23050.3	12393.7
X,Y,total x, y	484.028	236.374	23534.4	12630.1
X,Y,total x, y	616.426	380.635	24150.8	13010.7
X,Y,total x, y	292.733	137.669	24443.5	13148.4
X,Y,total x, y	463.808	247.168	24081.7	13486.3
X,Y,total x, y	606.887	366.822	24688.6	13853.1
X,Y,total x, y	617.927	419.69	8710.42	4182.22
X,Y,total x, y	239.859	100.462	8950.28	4282.69
X,Y,total x, y	324.569	208.865	25013.1	14062
X,Y,total x, y	538.671	418.381	25551.8	14480.4
X,Y,total x, y	491.264	323.735	26043.1	14804.1
X,Y,total x, y	268.015	68.854	24711.5	13217.2
X,Y,total x, y	519.415	221.048	25230.9	13438.3
X,Y,total x, y	621.181	376.276	9571.46	4658.96
X,Y,total x, y	525.156	408.951	26568.2	15213
X,Y,total x, y	453.36	248.328	27021.6	15461.4
X,Y,total x, y	341.921	243.162	25572.9	13681.4
X,Y,total x, y	510.075	424.82	26082.9	14106.2
X,Y,total x, y	494.335	196.4	27515.9	15657.8
X,Y,total x, y	461.186	240.644	26544.1	14346.9
X,Y,total x, y	328.559	208.523	26872.7	14555.4
X,Y,total x, y	597.441	363.839	28113.4	16021.6
X,Y,total x, y	559.967	407.484	28673.3	16429.1
X,Y,total x, y	507.745	429.278	29181.1	16858.4
X,Y,total x, y	609.019	366.111	29790.1	17224.5
X,Y,total x, y	474.711	304.508	30264.8	17529
X,Y,total x, y	342.263	240.983	27215	14796.4
X,Y,total x, y	576.484	368.074	30841.3	17897.1
X,Y,total x, y	284.625	96.6911	27499.6	14893.1
X,Y,total x, y	544.179	243.009	28043.8	15136.1
X,Y,total x, y	553.616	417.78	31394.9	18314.8
X,Y,total x, y	602.169	368.646	31997.1	18683.5
X,Y,total x, y	335.712	195.239	28379.5	15331.3
X,Y,total x, y	593.163	260.077	28972.6	15591.4
X,Y,total x, y	278.577	177.24	29251.2	15768.7
X,Y,total x, y	362.074	244.651	29613.3	16013.3
X,Y,total x, y	330.536	192.274	29943.8	16205.6
X,Y,total x, y	332.102	208.088	9903.57	4867.05
X,Y,total x, y	497.828	323.491	32494.9	19007
X,Y,total x, y	613.906	378.888	30557.7	16584.5
X,Y,total x, y	328.914	214.361	32823.8	19221.3
X,Y,total x, y	264.23	207.606	30822	16792.1
X,Y,total x, y	495.386	219.596	31317.3	17011.7
X,Y,total x, y	320.471	145.637	31637.8	17157.3
X,Y,total x, y	606.101	369.691	32243.9	17527
X,Y,total x, y	551.512	220.265	33375.3	19441.6
X,Y,total x, y	510.256	215.001	32754.2	17742
X,Y,total x, y	355.899	152.837	10259.5	5019.89
X,Y,total x, y	419.006	247.499	33794.3	19689.1
X,Y,total x, y	510.703	218.749	33264.9	17960.8
X,Y,total x, y	257.956	151.85	33522.8	18112.6
X,Y,total x, y	518.94	387.028	34313.3	20076.1
X,Y,total x, y	595.337	253.955	34118.2	18366.6
X,Y,total x, y	480.299	247.842	34598.5	18614.4
X,Y,total x, y	491.201	373.794	35089.7	18988.2
X,Y,total x, y	286.389	92.8606	34599.7	20169
X,Y,total x, y	280.851	103.364	35370.5	19091.6
X,Y,total x, y	578.746	371.608	35178.4	20540.6
X,Y,total x, y	323.942	200.226	35694.5	19291.8
X,Y,total x, y	442.858	152.396	35621.3	20693
X,Y,total x, y	450.33	318.924	36071.6	21011.9
X,Y,total x, y	352.849	106.411	36047.3	19398.2
X,Y,total x, y	272.085	172.418	36319.4	19570.6
X,Y,total x, y	461.872	197.422	36781.3	19768
X,Y,total x, y	316.733	190.15	10576.2	5210.04
X,Y,total x, y	468.003	277.029	37249.3	20045.1
X,Y,total x, y	566.529	456.052	36638.1	21468
X,Y,total x, y	539.077	446.197	37788.3	20491.3
X,Y,total x, y	283.43	233.906	38071.8	20725.2
X,Y,total x, y	490.046	364.4	38561.8	21089.6
X,Y,total x, y	266.866	59.2599	36905	21527.2
X,Y,total x, y	337.109	156.887	38898.9	21246.4
X,Y,total x, y	531.065	214.775	37436	21742
X,Y,total x, y	454.306	220.063	39353.2	21466.5
X,Y,total x, y	265.198	59.8031	39618.4	21526.3
X,Y,total x, y	505.167	455.678	40123.6	21982
X,Y,total x, y	479.924	246.175	40603.5	22228.2
X,Y,total x, y	549.974	420.603	37986	22162.6
X,Y,total x, y	267.492	193.528	40871	22421.7
X,Y,total x, y	304.983	256.399	41176	22678.1
X,Y,total x, y	485.672	226.679	41661.7	22904.8
X,Y,total x, y	277.727	138.4	41939.4	23043.2
X,Y,total x, y	436.042	144.139	38422.1	22306.7
X,Y,total x, y	519.081	445.896	38941.1	22752.6
X,Y,total x, y	499.691	74.9878	42439.1	23118.2
X,Y,total x, y	551.117	239.504	39492.3	22992.1
X,Y,total x, y	313.848	222.934	42752.9	23341.1
X,Y,total x, y	571.835	364.529	40064.1	23356.7
X,Y,total x, y	334.285	154.835	43087.2	23495.9
X,Y,total x, y	336.826	197.351	43424.1	23693.3
X,Y,total x, y	296.932	174.5	40361	23531.2
X,Y,total x, y	560.317	53.8388	11136.5	5263.88
X,Y,total x, y	107.929	226.912	40469	23758.1
X,Y,total x, y	463.613	291.203	40932.6	24049.3
X,Y,total x, y	281.815	53.4797	41214.4	24102.8
X,Y,total x, y	463.475	323.926	41677.9	24426.7
X,Y,total x, y	280.324	51.5261	41958.2	24478.2
X,Y,total x, y	533.271	194.443	42491.5	24672.7
X,Y,total x, y	509.876	443.327	43001.3	25116
X,Y,total x, y	532.586	421.516	43956.6	24114.8
X,Y,total x, y	324.695	258.252	44281.3	24373.1
X,Y,total x, y	567.669	239.465	43569	25355.5
X,Y,total x, y	576.945	200.62	44145.9	25556.1
X,Y,total x, y	292.85	231.57	44574.2	24604.6
X,Y,total x, y	495.415	394.127	45069.6	24998.7
X,Y,total x, y	274.27	197.275	45343.9	25196
X,Y,total x, y	331.922	74.1475	45675.8	25270.2
X,Y,total x, y	219.651	53.646	45895.4	25323.8
X,Y,total x, y	283.739	200.268	46179.2	25524.1
X,Y,total x, y	476.648	200.434	44622.6	25756.5
X,Y,total x, y	575.224	203.319	45197.8	25959.8
X,Y,total x, y	510.27	408.748	46689.4	25932.8
X,Y,total x, y	571.213	369.994	45769	26329.8
X,Y,total x, y	573.433	255.993	47262.9	26188.8
X,Y,total x, y	551.876	410.772	47814.8	26599.6
X,Y,total x, y	106.494	225.796	47921.2	26825.4
X,Y,total x, y	567.262	236.186	11703.8	5500.06
X,Y,total x, y	294.82	118.774	48216.1	26944.2
X,Y,total x, y	621.129	418.585	48837.2	27362.8
X,Y,total x, y	412.869	202.994	46181.9	26532.8
X,Y,total x, y	263.192	60.0595	49100.4	27422.8
X,Y,total x, y	310.67	159.258	49411.1	27582.1
X,Y,total x, y	538.335	445.831	46720.2	26978.6
X,Y,total x, y	522.189	417.16	47242.4	27395.8
X,Y,total x, y	525.261	389.325	47767.7	27785.1
X,Y,total x, y	297.697	59.2753	12001.5	5559.34
X,Y,total x, y	613.373	381.261	48381.1	28166.4
X,Y,total x, y	281.361	215.418	12282.8	5774.76
X,Y,total x, y	547.633	243.154	49958.7	27825.2
X,Y,total x, y	620.708	456.894	49001.8	28623.3
X,Y,total x, y	285.702	164.272	50244.4	27989.5
X,Y,total x, y	510.066	335.95	49511.8	28959.2
X,Y,total x, y	502.064	352.087	50013.9	29311.3
X,Y,total x, y	297.412	200.462	12580.2	5975.22
X,Y,total x, y	516.346	389.475	50530.2	29700.8
X,Y,total x, y	348.262	166.352	50592.7	28155.9
X,Y,total x, y	500.987	347.339	13081.2	6322.56
X,Y,total x, y	308.163	252.993	50900.8	28408.8
X,Y,total x, y	546.288	215.086	51076.5	29915.9
X,Y,total x, y	413.068	282.876	51313.9	28691.7
X,Y,total x, y	281.413	93.4425	51595.3	28785.2
X,Y,total x, y	502.074	208.965	52097.4	28994.1
X,Y,total x, y	536.078	447.883	13617.3	6770.44
X,Y,total x, y	252.98	47.4872	52350.4	29041.6
X,Y,total x, y	68.7807	309.687	52419.1	29351.3
X,Y,total x, y	597.474	389.05	51674	30304.9
X,Y,total x, y	492.007	275.152	52166	30580.1
X,Y,total x, y	298.648	71.0627	52464.7	30651.2
